issuer_ca_id,issuer_name,name_value,min_cert_id,min_entry_timestamp,not_before
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",fmium-qs1.wien.gv.at,313866737,2018-01-26 17:50:52.248,2018-01-26 00:00:00
1478,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Organization Validation Secure Server CA",*.rechnungshof.gv.at,313776003,2018-01-26 14:59:29.545,2018-01-22 00:00:00
1478,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO RSA Organization Validation Secure Server CA",rechnungshof.gv.at,313776003,2018-01-26 14:59:29.545,2018-01-22 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",distanz.noe.gv.at,313776002,2018-01-26 14:59:27.724,2018-01-22 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",distanz.noel.gv.at,313776002,2018-01-26 14:59:27.724,2018-01-22 00:00:00
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",st-georgen-ybbsfelde.gv.at,313613817,2018-01-26 09:07:15.643,2018-01-26 08:07:15
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.st-georgen-ybbsfelde.gv.at,313613817,2018-01-26 09:07:15.643,2018-01-26 08:07:15
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",internet011.ooe.gv.at,313362169,2018-01-25 23:42:06.183,2018-01-18 00:00:00
1582,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO ECC Domain Validation Secure Server CA 2",*.breitenau.gv.at,313165806,2018-01-25 17:35:46.536,2018-01-25 00:00:00
1582,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO ECC Domain Validation Secure Server CA 2",breitenau.gv.at,313165806,2018-01-25 17:35:46.536,2018-01-25 00:00:00
1582,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO ECC Domain Validation Secure Server CA 2",*.natschbach-loipersbach.gv.at,313165806,2018-01-25 17:35:46.536,2018-01-25 00:00:00
1582,"C=GB, ST=Greater Manchester, L=Salford, O=COMODO CA Limited, CN=COMODO ECC Domain Validation Secure Server CA 2",natschbach-loipersbach.gv.at,313165806,2018-01-25 17:35:46.536,2018-01-25 00:00:00
1687,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL CA 3",edu-ldap.bmbwf.gv.at,313086277,2018-01-25 15:00:22.276,2018-01-22 00:00:00
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.gaubitsch.gv.at,312984551,2018-01-25 11:12:20.513,2018-01-25 10:12:20
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",fmium-qs1.wien.gv.at,312988027,2018-01-25 10:33:04.053,2018-01-25 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",citizen-test.bmi.gv.at,312964275,2018-01-25 09:28:15.33,2018-01-25 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",mail1.labor.stmk.gv.at,312950019,2018-01-25 09:07:44.778,2018-01-25 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",doris.ooe.gv.at,312668935,2018-01-24 22:50:55.513,2018-01-22 00:00:00
16418,"C=US, O=Let's Encrypt, CN=Let's Encrypt Authority X3",www.neukirchen.ooe.gv.at,312422513,2018-01-24 15:55:28.651,2018-01-24 14:55:28
62124,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte TLS RSA CA G1",ctxgwt.bev.gv.at,312244371,2018-01-24 09:22:33.982,2018-01-24 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",nsm1t.wien.gv.at,311461318,2018-01-23 09:01:38.63,2018-01-23 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",nsm1.wien.gv.at,311461264,2018-01-23 09:00:40.794,2018-01-23 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",vstv.gv.at,311371067,2018-01-23 05:43:11.503,2018-01-23 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",www.vstv.gv.at,311371067,2018-01-23 05:43:11.503,2018-01-23 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",e-formulare.noe.gv.at,310910334,2018-01-22 14:55:01.535,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",e-formulare.noel.gv.at,310910334,2018-01-22 14:55:01.535,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",bildung.bmbwf.gv.at,310909818,2018-01-22 14:44:42.762,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",sozialinfo.noe.gv.at,310811890,2018-01-22 11:35:03.481,2018-01-22 00:00:00
1660,"C=NL, ST=Noord-Holland, L=Amsterdam, O=TERENA, CN=TERENA SSL High Assurance CA 3",www.sozialinfo.noe.gv.at,310811890,2018-01-22 11:35:03.481,2018-01-22 00:00:00
